longitude,latitude,altitude,ground_speed
72.985253,21.536522,0,0
72.985253,21.536522,0,0
72.985253,21.536522,0,0
72.985231,21.536138,0,2.222222
72.985071,21.535473,0,0
72.985018,21.535273,0,2.222222
72.985018,21.535273,0,2.222222
72.984756,21.535222,0,2.5
72.984436,21.535298,0,3.888889
72.984049,21.53536,0,3.333333
72.983809,21.535549,0,3.611111
72.983916,21.535909,0,4.444444
72.984613,21.538878,0,4.722222
72.984933,21.540396,0,5
72.985062,21.540531,0,5.277778
72.987084,21.541213,0,0
72.987831,21.541562,0,8.333333
72.992396,21.542809,0,8.055556
72.993156,21.542984,0,7.777778
72.993827,21.543271,0,7.777778
72.994911,21.543662,0,6.388889
72.995018,21.543802,0,6.111111
72.995027,21.544364,0,5.833333
72.995027,21.544364,0,5.833333
72.995089,21.544838,0,4.722222
72.995187,21.544913,0,4.166667
72.998422,21.545782,0,0
72.998422,21.545782,0,0
72.998947,21.546022,0,8.055556
72.999693,21.546236,0,8.055556
73.000458,21.546436,0,7.777778
73.002031,21.546578,0,8.333333
73.005187,21.546942,0,4.166667
73.006964,21.547227,0,0
73.006964,21.547227,0,0
73.007347,21.547093,0,1.944444
73.007316,21.546747,0,5
73.006933,21.542087,0,11.388889
73.006227,21.537802,0,11.944444
73.005698,21.53344,0,0
73.005698,21.53344,0,11.666667
73.005569,21.532356,0,11.944444
73.00508,21.528116,0,12.222222
73.004587,21.523684,0,12.222222
73.004471,21.522596,0,11.944444
73.004182,21.5204,0,12.222222
73.003884,21.518084,0,13.055556
73.003778,21.516876,0,12.777778
73.003653,21.515753,0,12.222222
73.003524,21.514642,0,11.944444
73.003396,21.51354,0,0
73.003267,21.512418,0,12.5
73.003004,21.510153,0,12.222222
73.002387,21.505502,0,13.055556
73.00184,21.500924,0,12.222222
73.001418,21.497471,0,12.5
73.000853,21.492953,0,0
73.000853,21.492953,0,12.777778
73.000702,21.491796,0,12.777778
73.00012,21.487304,0,12.5
72.999564,21.482704,0,12.5
72.998991,21.478182,0,12.5
72.998671,21.47596,0,12.222222
72.998191,21.472593,0,0
72.998031,21.471444,0,12.777778
72.996644,21.467078,0,12.222222
72.993631,21.463447,0,12.777778
72.990556,21.4597,0,12.777778
72.989782,21.458767,0,12.777778
