longitude,latitude,ground_speed
72.990182,21.546336,0
72.990182,21.546336,0
72.990182,21.546336,0
72.990831,21.546149,2.5
72.992067,21.545949,0
72.992582,21.545842,5.833333
72.993782,21.545649,6.666667
72.994813,21.545502,2.222222
72.99508,21.545418,2.777778
72.995049,21.545133,2.5
72.995004,21.544911,3.055556
72.995218,21.544824,1.944444
72.99552,21.54486,4.166667
72.998476,21.545844,5.833333
72.999831,21.546273,0
72.999831,21.546273,7.222222
73.000556,21.546418,6.944444
73.004431,21.546758,2.222222
73.006124,21.547069,2.222222
73.00688,21.547189,0
73.007316,21.546907,3.055556
73.00708,21.542893,0
73.00708,21.542893,9.444444
73.00692,21.542016,10.277778
73.006151,21.537102,10.833333
73.005653,21.532987,11.666667
73.005164,21.528749,11.944444
73.004813,21.525522,11.944444
73.004698,21.524433,0
73.004569,21.523318,12.222222
73.004187,21.520018,11.944444
73.003938,21.517822,11.944444
73.003693,21.515736,11.666667
73.00332,21.512569,11.944444
73.002813,21.508362,11.388889
73.002404,21.505122,0
73.002267,21.504038,11.944444
73.002129,21.502962,11.666667
73.001533,21.498444,12.5
73.001244,21.496136,13.055556
73.00068,21.49162,12.222222
73.000107,21.48726,11.111111
72.999853,21.485029,0
72.999711,21.483931,11.944444
72.999169,21.4795,12.222222
72.998742,21.476204,12.222222
72.998124,21.471829,11.666667
72.997053,21.467704,12.777778
72.99556,21.465793,0
72.994804,21.464878,12.5
72.994049,21.463947,13.055556
72.991751,21.461116,12.5
72.988738,21.457467,12.5
72.985716,21.453796,13.055556
72.98236,21.449769,0
72.98236,21.449769,11.666667
72.981604,21.448856,13.888889
72.978547,21.445169,11.666667
72.975596,21.441644,12.222222
72.972604,21.438056,0
72.972604,21.438056,12.5
72.97184,21.437138,12.777778
72.971071,21.436227,12.5
72.969582,21.434433,12.777778
72.968222,21.432422,13.055556
72.96788,21.431298,12.777778
72.967378,21.427936,11.666667
72.966742,21.4237,11.666667
72.966164,21.419367,12.5
72.966018,21.418233,12.5
72.965391,21.413833,12.222222
72.964911,21.410536,12.222222
72.964556,21.407289,10.833333
72.964027,21.402913,0
72.964027,21.402913,12.777778
72.958818,21.386376,11.111111
72.958244,21.384631,0
72.958169,21.3723,0
72.958169,21.3723,12.777778
72.9588,21.368869,0
72.9588,21.368869,12.777778
72.959333,21.365367,12.777778
72.959853,21.361891,0
72.959938,21.357407,11.944444
72.959898,21.356316,11.944444
72.959871,21.355229,11.666667
72.959458,21.350918,12.222222
72.959298,21.349793,12.5
72.958969,21.347464,12.777778
72.958658,21.345109,12.777778
72.959693,21.340727,8.055556
72.960169,21.339016,11.388889
72.9608,21.33688,0
72.9608,21.33688,12.222222
72.961111,21.335767,12.777778
72.962387,21.331304,12.777778
72.962707,21.33018,12.5
72.963729,21.325631,12.777778
72.963889,21.321022,12.777778
72.963836,21.317587,12.777778
72.963453,21.316489,0
72.962778,21.315516,12.5
72.958862,21.312307,12.777778
72.957044,21.3107,13.055556
72.955484,21.308862,12.777778
72.955138,21.307789,12.777778
72.954573,21.304416,11.111111
72.954422,21.303576,0
72.954316,21.302927,2.5
72.953164,21.297996,13.611111
72.952622,21.29556,13.611111
72.951684,21.290922,13.333333
72.951516,21.286109,12.5
72.95128,21.281736,12.222222
72.951378,21.279482,13.055556
72.951898,21.278362,13.333333
72.952582,21.277287,13.888889
72.954973,21.274218,0
72.955702,21.2733,12.5
72.956404,21.27242,11.388889
72.957773,21.269529,8.611111
72.958551,21.267798,11.944444
72.960716,21.263056,12.777778
72.961164,21.262056,10.833333
72.962969,21.258022,12.5
72.963462,21.256998,0
72.963462,21.256998,11.111111
72.963853,21.256091,10.833333
72.964271,21.255162,10.833333
72.966093,21.251256,13.055556
72.96808,21.246738,13.055556
72.968596,21.241993,13.055556
72.968627,21.239596,13.333333
72.968622,21.237173,0
72.968622,21.235971,13.333333
72.968542,21.231067,13.333333
72.968551,21.226167,13.055556
72.968542,21.221493,12.777778
72.968516,21.217933,13.055556
72.968489,21.215633,0
72.968338,21.214529,12.222222
72.968147,21.212413,10.833333
72.967529,21.208398,11.666667
72.966924,21.204289,10.833333
72.966218,21.199416,10.555556
72.965902,21.197373,0
72.965902,21.197373,11.944444
72.965751,21.196309,11.388889
72.966231,21.192278,11.388889
72.966467,21.191264,10.833333
72.966431,21.190549,2.5
72.965942,21.188467,9.444444
72.964911,21.184344,12.5
72.964364,21.182193,0
72.964102,21.18118,11.666667
72.963533,21.176633,12.5
72.962982,21.17238,10.833333
72.9626,21.1704,11.111111
72.961991,21.167189,10
72.961418,21.163767,0
72.961418,21.163767,7.777778
72.961342,21.162956,9.722222
72.961458,21.162002,10.833333
72.9618,21.161004,11.944444
72.962898,21.159144,10.833333
72.963387,21.158344,9.444444
72.963684,21.157569,8.611111
72.964262,21.152751,11.666667
72.964747,21.148182,11.666667
72.964973,21.146147,0
72.965093,21.145044,12.5
72.966484,21.140776,12.222222
72.968209,21.136756,12.222222
72.969053,21.133502,12.222222
72.970831,21.12926,12.777778
72.971671,21.127073,0
72.972062,21.125949,13.055556
72.973871,21.12156,13.055556
72.97432,21.120458,12.777778
72.976133,21.116093,12.777778
72.976524,21.111664,12.5
72.976187,21.108302,12.5
72.976067,21.107162,0
72.975938,21.106036,12.5
72.97612,21.101631,11.944444
72.976431,21.099589,11.388889
72.976942,21.095111,12.5
72.977089,21.093989,11.944444
72.977453,21.090536,12.777778
72.977587,21.089411,12.222222
72.977831,21.087336,0
72.977973,21.08644,10
72.978698,21.081658,15
72.978827,21.080367,13.611111
72.979498,21.076089,11.944444
72.980476,21.071509,12.5
72.980604,21.066733,0
72.980604,21.066733,13.611111
72.980591,21.065578,11.944444
72.979284,21.06122,13.055556
72.978142,21.056973,12.222222
72.977751,21.053596,13.055556
72.976951,21.04918,12.5
72.976782,21.046907,0
72.976698,21.045793,12.222222
72.975844,21.041398,12.777778
72.974876,21.039291,12.5
72.974142,21.038358,13.333333
72.973151,21.037604,12.222222
72.969787,21.034211,13.333333
72.970084,21.032098,10.277778
72.971107,21.029311,0
72.97148,21.028129,13.888889
72.97172,21.023651,12.5
72.972169,21.021442,12.5
72.972991,21.016878,13.055556
72.973213,21.012313,12.5
72.973307,21.008973,0
72.973382,21.00786,11.944444
72.973022,21.003507,11.944444
72.971124,20.999627,11.388889
72.969507,20.995589,12.222222
72.968271,20.991449,9.444444
72.968058,20.990691,0
72.968058,20.990691,8.333333
72.967871,20.989989,7.777778
72.967004,20.985833,12.5
72.966049,20.981411,12.5
72.965156,20.977056,12.222222
72.964769,20.974833,12.5
72.964236,20.971556,0
72.964236,20.971556,12.5
72.964067,20.970471,12.222222
72.963378,20.966153,12.222222
72.962876,20.961784,10.833333
72.962516,20.959651,13.055556
72.961044,20.955064,10.277778
72.960196,20.952282,0
72.960196,20.952282,10.833333
72.959924,20.951309,10.555556
72.959093,20.94822,7.222222
72.959276,20.947462,9.444444
72.959493,20.947156,10.277778
72.960387,20.94654,11.666667
72.963751,20.944636,14.722222
72.966027,20.943316,13.055556
72.969942,20.941002,0
72.969942,20.941002,11.944444
72.970827,20.940264,12.222222
72.971658,20.939484,12.5
72.975129,20.936349,4.444444
72.976502,20.935113,4.722222
72.978271,20.933456,2.222222
72.978262,20.933231,0
72.978262,20.933231,0
72.977747,20.93316,3.888889
72.977387,20.932931,4.722222
72.972849,20.930304,10.277778
72.968498,20.928031,10.555556
72.965827,20.926602,10
72.964929,20.926138,0
72.964018,20.925671,10.555556
72.95936,20.923273,10.833333
72.955453,20.9213,6.944444
72.95356,20.920318,5.833333
72.953231,20.920182,3.333333
72.952867,20.920158,5.277778
72.952356,20.920398,6.388889
72.951964,20.920547,0
72.951933,20.920273,2.222222
72.954516,20.917967,9.722222
72.958231,20.914596,11.111111
72.9598,20.913131,10.833333
72.960191,20.912253,10.555556
72.960427,20.911304,10.833333
72.960662,20.910298,0
72.96096,20.909376,9.166667
72.96248,20.907969,11.666667
72.964964,20.90474,10.555556
72.965444,20.902898,10.555556
72.966067,20.902144,10
72.967924,20.899936,10.277778
72.969498,20.898551,11.111111
72.971129,20.897229,0
72.971129,20.897229,0
72.971711,20.896356,11.388889
72.971862,20.895293,11.111111
72.972498,20.893191,12.222222
72.97348,20.8892,11.944444
72.97428,20.884767,11.944444
72.975898,20.880093,10.277778
72.976364,20.878273,0
72.976471,20.87726,11.111111
72.976556,20.875142,12.222222
72.976653,20.873062,10.833333
72.976942,20.87212,11.111111
72.977578,20.868938,11.388889
72.976142,20.864916,11.111111
72.976236,20.861496,10.833333
72.976693,20.861122,0
72.97696,20.860887,4.444444
72.97696,20.860887,4.444444
72.977333,20.860736,5.555556
72.977747,20.860691,2.222222
