longitude,latitude,altitude,ground_speed
72.997453,20.707693,0,0
72.997453,20.707693,0,0
72.997453,20.707693,0,0
72.997933,20.707687,0,0
72.997933,20.707687,0,3.333333
72.998289,20.707938,0,5.833333
73.002724,20.710816,0,11.944444
73.007227,20.712036,0,12.5
73.010773,20.712309,0,12.5
73.015076,20.714398,0,12.5
73.017324,20.715167,0,0
73.018453,20.715567,0,13.055556
73.019396,20.716313,0,12.5
73.019982,20.717336,0,12.777778
73.021538,20.720513,0,13.055556
73.023653,20.722207,0,15
73.027991,20.724929,0,11.666667
73.029938,20.729,0,13.055556
73.030862,20.731224,0,0
73.031311,20.732267,0,12.222222
73.032898,20.735402,0,12.777778
73.035218,20.739469,0,12.777778
73.038187,20.742982,0,12.5
73.041342,20.744558,0,12.222222
73.044716,20.745689,0,0
73.045809,20.746111,0,12.5
73.047622,20.747627,0,12.222222
73.048293,20.748549,0,12.222222
73.050276,20.751293,0,12.222222
73.052764,20.755073,0,11.944444
73.053458,20.755998,0,12.222222
73.054156,20.756922,0,11.944444
73.054809,20.757813,0,11.666667
73.057084,20.761573,0,0
73.057084,20.761573,0,12.5
73.05744,20.762724,0,13.055556
73.058578,20.766996,0,11.944444
73.059969,20.771211,0,11.666667
73.061538,20.775438,0,11.944444
73.062387,20.778696,0,12.5
73.06292,20.780907,0,0
73.063209,20.782029,0,12.5
73.063836,20.78458,0,7.222222
73.064422,20.787469,0,4.444444
73.064387,20.787591,0,4.444444
73.064276,20.787669,0,4.722222
73.064124,20.78768,0,5.555556
73.059747,20.786082,0,11.111111
73.057684,20.785396,0,0
73.057684,20.785396,0,11.111111
73.056564,20.785296,0,11.944444
73.0522,20.785953,0,11.111111
73.047858,20.786602,0,11.666667
73.043978,20.788422,0,10
73.04316,20.789098,0,11.666667
73.041542,20.790307,0,9.722222
73.04064,20.790602,0,10.555556
73.039702,20.7908,0,0
73.038498,20.791056,0,14.166667
73.033289,20.791404,0,12.222222
73.030916,20.791669,0,11.944444
73.02984,20.791256,0,12.222222
73.027427,20.790958,0,12.777778
73.022644,20.790607,0,12.5
73.020302,20.790573,0,11.944444
73.019271,20.791169,0,12.777778
73.018111,20.791611,0,0
73.016916,20.791882,0,12.777778
73.012102,20.792609,0,12.5
73.008453,20.793118,0,12.222222
73.004107,20.793127,0,6.944444
73.003853,20.793162,0,2.222222
73.003778,20.793458,0,4.444444
73.003036,20.796902,0,0
73.003036,20.796902,0,10.555556
73.003022,20.797871,0,11.388889
73.003867,20.802084,0,2.777778
73.005333,20.805756,0,12.5
73.006578,20.80994,0,11.111111
73.006173,20.811984,0,0
73.005791,20.812982,0,11.388889
73.004738,20.81486,0,11.944444
73.003747,20.815402,0,11.944444
73.000818,20.817231,0,11.944444
72.997667,20.817729,0,9.166667
72.996836,20.817816,0,8.333333
72.9964,20.817918,0,4.444444
72.996573,20.818444,0,7.5
72.996622,20.819364,0,11.666667
72.996338,20.820502,0,12.5
72.995498,20.823876,0,0
72.995498,20.823876,0,12.5
72.995262,20.825013,0,12.777778
72.995409,20.829604,0,12.777778
72.995431,20.830773,0,13.333333
72.995102,20.831431,0,13.055556
72.994498,20.8359,0,13.055556
72.994529,20.839038,0,12.5
72.992342,20.842949,0,0
72.992342,20.842949,0,11.944444
72.991538,20.843747,0,11.666667
72.990267,20.844722,0,3.611111
72.98996,20.845231,0,8.333333
72.990022,20.845733,0,2.777778
72.9906,20.85026,0,11.944444
72.990427,20.851069,0,11.944444
72.989556,20.851747,0,11.111111
72.989191,20.8526,0,4.722222
72.989138,20.852942,0,5.277778
72.989138,20.852942,0,5.277778
72.989053,20.853116,0,5
72.988898,20.85318,0,6.111111
72.987693,20.853318,0,5.833333
72.985831,20.853469,0,0
72.984689,20.853602,0,11.388889
72.983613,20.85386,0,11.666667
72.982622,20.854202,0,11.111111
72.981956,20.855067,0,11.944444
